,0.08,0.02,0.97
160418520,0.08,0.02,0.97
160423448,0.09,0.02,0.95
160428376,0.08,0.01,0.97
160433304,0.09,0.01,0.98
160438208,0.08,0.00,1.00
160443128,0.09,0.01,0.98
160448064,0.09,0.01,0.99
160452984,0.09,0.00,1.00
160457880,0.10,0.01,0.99
160462792,0.11,0.02,0.99
160467712,0.11,0.02,0.98
160472640,0.10,0.02,0.97
160477560,0.11,0.03,0.98
160482504,0.08,0.01,0.98
160487440,0.10,0.03,0.98
160492376,0.09,0.02,0.98
160497280,0.10,0.03,0.97
160502200,0.08,0.03,0.97
160507136,0.08,0.01,0.96
160512080,0.08,0.02,0.97[26;99H 160516976,0.06,0.03,0.97
160521928,0.05,0.02,0.99
160526848,0.07,0.01,0.99
160531768,0.07,0.01,0.99
160536680,0.06,0.01,0.98
160541616,0.05,0.01,0.99
160546536,0.04,0.02,0.97
160551456,0.05,0.03,0.98
160556384,0.07,0.01,0.98
160561328,0.07,0.02,0.99
160566240,0.06,0.02,0.98
160571152,0.09,0.02,0.98
160576080,0.08,0.02,0.98
160581008,0.09,0.02,0.97
160585928,0.09,0.02,0.98
160590832,0.10,0.03,0.98
160595784,0.10,0.03,0.99
160600696,0.09,0.02,0.98
160605600,0.09,0.01,0.99
160610512,0.09,0.01,0.99
160615448,0.08,0.02,0.99
160620368,0.07,0.03,1.00
160625288,0.08,0.01,0.99
160630192,0.04,0.01,0.98
160635120,0.07,0.02,0.98
160640040,0.05,0.013,0.04,1.00
209895680,0.36,0.10,0.89
209900600,0.36,0.09,0.94
209905536,0.40,0.07,0.94
209910448,0.36,0.07,0.91
209915400,0.33,0.10,0.92
209920336,0.36,0.06,0.97
209925272,0.30,0.10,0.92
209930200,0.28,0.11,0.90
209935152,0.29,0.11,0.90
209940096,0.28,0.14,0.90
209945016,0.26,0.13,0.90
209949944,0.17,0.18,0.95
209954880,0.26,0.17,0.88
209959824,0.28,0.17,0.87
209964792,0.28,0.22,0.90
209969752,0.22,0.14,0.90
209974680,0.21,0.19,0.89
209979632,0.23,0.19,0.89
209984576,0.27,0.19,0.92
209989520,0.28,0.18,0.93
209994480,0.28,0.16,0.93
209999408,0.30,0.16,0.94
210004344,0.31,0.16,0.95
210009288,0.33,0.16,0.95
210014232,0.33,0.15,0.95
210019192,0.34,0.14,0.98
210024144,0.32,0.14,0.95
210029128,0.33,0.16,0.99
