30,-0.07,1.05
745074288,0.28,-0.08,1.05
745079272,0.29,-0.06,1.04
745084256,0.28,-0.06,1.02
745089224,0.26,-0.06,1.01
745094200,0.30,-0.03,0.97
745099176,0.28,-0.01,0.98
745104152,0.27,0.01,0.96
745109096,0.25,0.04,0.95
745114024,0.23,0.05,0.96
745118968,0.25,0.05,0.95
745123912,0.23,0.05,0.96
745128840,0.20,0.03,0.96
745133760,0.18,0.03,0.94
745138712,0.16,0.03,0.95
745143656,0.15,0.04,0.96
745148624,0.17,0.03,0.97
745153560,0.17,87784,0.37,0.08,0.98
780687952,0.40,0.11,0.91
780692904,0.40,0.13,0.89
780697864,0.34,0.10,0.88
780702800,0.34,0.10,0.89
780707744,0.38,0.08,0.94
780712688,0.33,0.09,0.92
780717640,0.31,0.08,0.92
780722584,0.33,0.09,0.94
780727520,0.29,0.07,0.94
780732472,0.28,0.10,0.94
780737416,0.26,0.12,0.95
780742384,0.30,0.10,0.94
780747360,0.26,0.19,0.93
780752336,0.25,0.12,0.92
780757304,0.28,0.16,0.89
780762248,0.34,0.17,0.94
780767200,0.17,0.21,0.86
780772144,0.35,0.20,0.78
780777072,0.54,0.19,0.81
780782048,0.46,0.23,0.87
780787008,0.42,0.18,0.92
780791976,0.40,0.20,0.89
780796896,0.38,0.22,0.90
780801824,0.39,0.21,0.89
780806768,0.42,0.21,0.91
780811728,0.43,0.22,0.92
780816720,0.43,0.19,0.90
780821640,0.42,0.20,0.89
780826568,0.44,0.18,0.91
780831504,0.41,0.17,0.93
780836456,0.42,0.18,0.92
780841400,0.43,0.17,0.92
780846368,0.42,0.21,0.91
780851320,0.44,0.18,0.91
780856264,0.43,0.19,0.92
780861208,0.43,0.19,0.92
780866176,0.43,0.19,0.91
780871112,0.44,0.19,0.90
780876072,0.45,0.18,0.89
780881024,0.43,0.19,0.90
780885976,0.43,0.19,0.89
780890920,0.43,0.19,0.90
780895848,0.41,0.19,0.89
780900792,0.42,0.21,0.87
780905752,0.42,0.19,0.86
780910712,0.41,0.18,0.87
780915656,0.39,0.19,0.89
780920608,0.41,0.20,0.89
780925544,0.42,0.18,0.88
780930480,0.41,0.20,0.89
780935416,0.39,0.19,0.89
780940368,0.38,0.18,0.87
780945312,0.38,0.19,0.89
780950264,0.39,0.19,0.87
780955208,0.40,0.19,0.87
780960136,0.40,0.18,0.90
780965048,0.38,0.19,0.89
780970000,0.35,0.19,0.90
780974952,0.35,0.21,0.90
780979888,0.31,0.21,0.89
780984824,0.30,0.20,0.90
780989736,0.30,0.21,0.91
780994696,0.28,0.19,0.92
780999640,0.28,0.19,0.89
781004584,0.27,0.20,0.92
781009520,0.27,0.20,0.90
781014448,0.28,0.19,0.89
781019408,0.30,0.20,0.91
781024360,0.30,0.19,0.93
781029312,0.31,0.19,0.92
781034256,0.31,0.18,0.93
781039208,0.31,0.17,0.92
781044160,0.30,0.17,0.94
781049112,0.30,0.16,0.92
781054080,0.29,0.18,0.92
781059048,0.25,0.21,0.92
781064016,0.28,0.16,0.92
781068968,0.29,0.17,0.92
781073912,0.29,0.16,0.92
781078856,0.30,0.16,0.94
781083800,0.32,0.16,0.92
781088760,0.34,0.16,0.92
781093744,0.31,0.17,0.95
781098704,0.33,0.15,0.95
781103696,0.33,0.16,0.96
781108648,0.31,0.16,0.94
781113624,0.29,0.17,0.94
781118568,0.32,0.16,0.95
781123520,0.30,0.16,0.96
781128472,0.30,0.16,0.94
781133416,0.30,0.17,0.95
781138376,0.29,0.17,0.95
781143336,0.31,0.18,0.94
781148304,0.31,0.16,0.93
781153240,0.30,0.16,0.93
781158184,0.33,0.16,0.95
781163136,0.31,0.17,0.93
781168096,0.32,0.17,0.95
781173064,0.33,0.16,0.95
781178032,0.33,0.16,0.94
781183000,0.33,0.17,0.94
781187968,0.33,0.16,0.93
781192928,0.32,0.16,0.95
781197880,0.32,0.16,0.95
781202824,0.32,0.16,0.94
781207784,0.31,0.16,0.94
781212752,0.31,0.17,0.94
781217728,0.31,0.16,0.94
781222696,0.29,0.17,0.94
781227648,0.29,0.16,0.94
781232608,0.29,0.16,0.94
781237544,0.29,0.16,0.94
781242488,0.29,0.18,0.94
781247424,0.30,0.17,0.94
781252384,0.30,0.17,0.93
781257352,0.30,0.17,0.94
781262304,0.29,0.16,0.94
781267264,0.30,0.16,0.94
781272192,0.28,0.17,0.92
781277128,0.29,0.15,0.93
781282072,0.28,0.17,0.91
781287032,0.28,0.17,0.94
781291992,0.30,0.17,0.93
781296936,0.28,0.16,0.93
781301880,0.29,0.17,0.93
781306832,0.30,0.15,0.94
781311760,0.28,0.16,0.93
781316752,0.28,0.16,0.94
781321720,0.29,0.16,0.93
781326680,0.29,0.16,0.93
781331624,0.28,0.16,0.94
781336552,0.29,0.15,0.94
781341504,0.27,0.17,0.94
781346440,0.29,0.16,0.94
781351392,0.27,0.18,0.95
781356344,0.27,0.16,0.95
781361312,0.27,0.16,0.94
781366248,0.28,0.16,0.95
781371192,0.29,0.16,0.93
781376136,0.28,0.17,0.95
781381080,0.28,0.16,0.95
781386056,0.29,0.16,0.96
781391024,0.29,0.15,0.95
781395992,0.29,0.14,0.96
781400936,0.28,0.14,0.97
781405880,0.28,0.15,0.96
781410848,0.30,0.15,0.96
781415784,0.28,0.14,0.94
781420736,0.27,0.15,0.95
781425712,0.28,0.15,0.96
781430648,0.28,0.16,0.97
781435616,0.27,0.15,0.95
781440552,0.27,0.15,0.97
781445496,0.26,0.16,0.96
781450448,0.25,0.15,0.95
781455376,0.25,0.16,0.94
781460352,0.24,0.16,0.94
781465312,0.24,0.16,0.95
781470296,0.25,0.17,0.95
781475248,0.24,0.16,0.93
781480208,0.23,0.15,0.95
781485144,0.23,0.15,0.95
781490088,0.21,0.15,0.95
781495048,0.21,0.15,0.95
781500008,0.20,0.14,0.97
781504960,0.21,0.13,1.00
781509896,0.23,0.14,0.98
781514848,0.23,0.11,1.01
781519792,0.23,0.10,1.01
781524728,0.22,0.11,1.02
781529704,0.22,0.12,1.05
781534664,0.22,0.10,1.05
781539624,0.22,0.10,1.03
781544568,0.22,0.08,1.05
781549504,0.20,0.08,1.04
781554440,0.20,0.09,1.03
781559360,0.21,0.08,1.05
781564320,0.21,0.08,1.04
781569280,0.20,0.08,1.05
781574208,0.18,0.08,1.03
781579152,0.17,0.08,1.04
781584096,0.14,0.08,1.05
781589056,0.13,0.10,1.07
781594008,0.10,0.10,1.06
781598968,0.11,0.11,1.08
781603912,0.12,0.10,1.08
781608848,0.10,0.12,1.10
781613784,0.10,0.11,1.08
781618728,0.11,0.12,1.10
781623704,0.12,0.10,1.08
781628640,0.12,0.12,1.09
781633600,0.12,0.12,1.08
781638536,0.11,0.13,1.08
781643488,0.11,0.12,1.09
781648464,0.11,0.10,1.09
781653408,0.10,0.12,1.09
781658384,0.11,0.12,1.07
781663368,0.13,0.09,1.07
781668320,0.11,0.09,1.06
781673264,0.12,0.06,1.05
781678192,0.06,0.04,1.03
781683104,0.13,0.02,1.05
781688048,0.10,0.02,1.04
781693000,0.19,0.02,1.04
781697944,0.20,0.08,1.03
781702864,0.18,0.08,1.02
781707824,0.18,0.09,1.00
781712752,0.16,0.12,1.00
781717736,0.13,0.10,0.98
781722680,0.16,0.09,0.97
781727608,0.16,0.07,0.96
781732536,0.16,0.08,0.94
781737464,0.15,0.10,0.94
781742400,0.16,0.09,0.94
781747352,0.12,0.07,0.94
781752288,0.11,0.10,0.95
781757224,0.14,0.09,0.94
781762152,0.13,0.12,0.94
781767104,0.10,0.13,0.94
781772048,0.11,0.12,0.94
781777016,0.13,0.13,0.92
781781984,0.14,0.14,0.92
781786960,0.13,0.15,0.93
781791896,0.15,0.14,0.92
781796856,0.15,0.13,0.90
781801792,0.15,0.15,0.91
781806752,0.15,0.16,0.90
781811696,0.16,0.16,0.90
781816680,0.21,0.15,0.92
781821640,0.18,0.16,0.89
781826624,0.14,0.15,0.91
781831568,0.25,0.17,0.89
781836528,0.15,0.15,0.90
781841456,0.21,0.14,0.90
781846384,0.16,0.16,0.94
781851352,0.15,0.14,0.92
781856312,0.18,0.14,0.92
781861272,0.17,0.14,0.95
781866216,0.19,0.14,0.93
781871160,0.21,0.13,0.94
781876104,0.21,0.11,0.95
781881048,0.18,0.10,0.93
781886008,0.20,0.13,0.94
781890960,0.26,0.06,0.94
781895936,0.21,0.13,0.94
781900872,0.18,0.12,0.94
781905816,0.20,0.16,0.94
781910752,0.22,0.13,0.93
781915704,0.25,0.17,0.92
781920680,0.22,0.17,0.94
781925624,0.16,0.16,0.92
781930592,0.19,0.14,0.92
781935528,0.23,0.14,0.92
781940480,0.25,0.16,0.91
781945432,0.24,0.15,0.93
781950376,0.23,0.12,0.93
781955360,0.24,0.13,0.91
781960312,0.23,0.11,0.91
781965272,0.22,0.12,0.91
781970216,0.21,0.10,0.89
781975152,0.21,0.12,0.90
781980080,0.20,0.10,0.91
781985032,0.20,0.10,0.89
781989976,0.20,0.10,0.93
781994912,0.20,0.12,0.94
781999864,0.22,0.12,0.94
782004824,0.21,0.11,0.97
782009768,0.21,0.12,0.98
782014728,0.22,0.14,0.98
782019688,0.23,0.13,1.00
782024616,0.26,0.12,1.01
782029584,0.23,0.12,0.99
782034520,0.25,0.09,1.00
782039440,0.21,0.18,0.97
782044392,0.20,0.13,0.99
782049336,0.25,0.16,1.01
782054304,0.25,0.10,1.03
782059272,0.27,0.12,1.01
782064248,0.24,0.10,1.01
782069192,0.24,0.12,0.99
782074152,0.22,0.12,1.00
782079088,0.25,0.14,1.02
782084056,0.21,0.13,1.00
782089016,0.27,0.10,1.00
782093968,0.27,0.10,1.02
782098896,0.25,0.17,0.99
782103840,0.20,0.16,0.99
782108768,0.26,0.14,0.99
782113720,0.23,0.14,1.00
782118680,0.22,0.16,0.98
782123664,0.22,0.12,1.00
782128600,0.23,0.16,1.00
782133552,0.22,0.13,1.00
782138496,0.20,0.17,0.99
782143424,0.19,0.15,0.99
782148368,0.22,0.15,1.00
782153336,0.21,0.14,0.99
782158296,0.20,0.14,0.99
782163248,0.20,0.14,1.00
782168168,0.21,0.13,0.98
782173112,0.21,0.14,0.99
782178056,0.20,0.14,0.97
782183024,0.20,0.11,1.00
782187960,0.19,0.12,0.97
782192936,0.18,0.12,0.98
782197880,0.17,0.12,0.98
782202824,0.16,0.15,0.97
782207776,0.17,0.16,0.98
782212728,0.18,0.12,0.99
782217688,0.15,0.12,1.01
782222656,0.17,0.11,1.00
782227584,0.23,0.09,1.00
782232520,0.31,0.05,0.94
782237456,0.12,0.15,0.97
782242432,0.10,0.12,0.96
782247360,0.13,0.11,0.95
782252344,0.19,0.08,0.94
782257288,0.16,0.12,0.96
782262240,0.15,0.10,0.94
782267176,0.11,0.11,0.94
782272128,0.15,0.11,0.93
782277064,0.10,0.10,0.94
782282008,0.10,0.10,0.93
782286944,0.10,0.10,0.92
782291864,0.08,0.07,0.91
782296784,0.07,0.08,0.91
782301728,0.08,0.08,0.90
782306656,0.07,0.08,0.90
782311592,0.05,0.09,0.90
782316504,0.07,0.06,0.90
782321416,0.02,0.06,0.90
782326344,0.03,0.07,0.91
782331304,0.05,0.06,0.90
782336248,0.02,0.06,0.92
782341160,0.03,0.06,0.91
782346096,0.05,0.06,0.92
782351016,0.05,0.06,0.93
782355952,0.07,0.02,0.94
782360864,0.05,0.01,0.94
782365816,0.03,0.02,0.94
782370728,0.07,0.03,0.96
782375680,0.06,0.03,0.97
782380624,0.05,0.01,0.97
782385560,0.07,0.01,0.96
782390496,0.07,0.00,0.96
782395424,0.06,0.00,0.95
782400360,0.07,-0.00,0.98
782405328,0.05,0.01,0.98
782410256,0.03,0.00,0.99
782415168,0.03,0.01,0.98
782420120,0.01,0.00,1.00
782425040,0.02,0.00,1.00
782429960,0.02,0.01,1.00
782434904,0.00,-0.01,0.99
782439864,-0.00,0.01,1.00
782444824,0.01,-0.00,1.00
782449776,0.01,-0.01,0.99
782454736,0.02,-0.01,1.00
782459704,0.02,-0.02,1.00
782464680,0.02,-0.03,1.01
782469664,0.01,-0.02,1.01
782474648,0.02,-0.02,1.03
782479608,0.02,-0.02,1.02
782484576,0.00,-0.04,1.00
782489432,0.01,-0.03,1.02
782494384,0.00,-0.04,1.02
782499344,0.01,-0.02,1.01
782504336,0.02,-0.02,1.00
782509280,0.02,-0.02,1.00
782514208,0.02,-0.03,1.00
782519152,0.03,-0.03,1.01
782524104,0.05,-0.02,1.00
782529048,0.04,-0.03,0.99
782534016,0.04,-0.02,1.00
782538992,0.04,-0.03,1.02
782543960,0.04,-0.02,1.00
782548904,0.05,-0.03,1.00
782553848,0.04,-0.02,1.01
782558808,0.05,-0.03,1.01
782563784,0.04,-0.04,1.00
782568704,0.05,-0.05,1.00
782573656,0.05,-0.03,1.00
782578592,0.06,-0.02,0.99
782583544,0.06,-0.01,1.00
782588520,0.05,-0.02,1.00
782593488,0.06,-0.02,1.00
782598440,0.04,-0.03,0.99
782603384,0.05,-0.01,1.01
782608352,0.05,-0.02,1.00
782613304,0.05,-0.02,1.00
782618272,0.05,-0.01,1.00
782623256,0.05,-0.01,1.01
782628216,0.04,-0.01,1.02
782633176,0.02,-0.01,1.02
782638144,0.01,-0.02,1.00
782643080,0.02,-0.02,1.02
782648048,0.02,-0.01,1.01
782653016,0.01,-0.02,1.02
782657992,0.00,-0.01,1.02
782662976,-0.00,-0.03,1.01
782668008,0.00,-0.01,1.01
782672992,0.01,-0.03,0.99
782677984,0.00,0.01,1.02
782682952,0.01,-0.01,0.99
782687936,0.02,-0.02,0.99
782692912,0.03,-0.02,0.99
782697888,0.03,-0.02,0.99
782702848,0.03,-0.01,0.99
782707792,0.01,-0.00,1.00
782712752,0.02,-0.02,1.00
782717704,0.01,-0.00,1.01
782722688,0.01,-0.03,1.01
782727688,0.00,-0.02,1.01
782732560,0.00,-0.02,1.02
782737536,-0.02,-0.01,1.02
782742560,-0.01,-0.03,1.01
782747568,0.01,-0.03,1.03
782752520,0.01,-0.02,1.01
782757480,-0.02,-0.03,0.99
782762488,0.03,-0.02,0.97
782767448,0.03,-0.04,0.97
782772392,0.03,-0.04,0.98
782777360,0.03,-0.05,1.01
782782352,0.03,-0.03,1.00
782787304,0.02,-0.04,1.00
782792248,0.04,-0.04,1.01
782797208,0.02,-0.04,1.00
782802168,0.02,-0.05,1.00
782807128,0.02,-0.05,1.02
782812096,0.01,-0.05,1.00
782817040,0.01,-0.04,1.00
782822024,0.02,-0.06,1.00
782826976,0.02,-0.06,0.98
782831952,0.02,-0.08,1.00
782836896,0.03,-0.07,1.00
782841824,0.01,-0.09,0.98
782846792,0.02,-0.07,0.96
782851744,0.02,-0.07,0.98
782856720,0.03,-0.08,0.98
782861672,0.01,-0.08,0.97
782866672,0.03,-0.08,0.97
782871632,0.03,-0.08,0.98
782876576,0.03,-0.08,0.98
782881512,0.03,-0.10,0.98
782886472,0.05,-0.10,1.00
782891440,0.05,-0.10,0.99
782896392,0.05,-0.10,0.99
782901352,0.04,-0.10,0.97
782906320,0.04,-0.09,0.98
782911272,0.03,-0.10,0.97
782916240,0.03,-0.10,0.97
782921224,0.02,-0.10,0.98
782926192,0.01,-0.10,0.97
782931160,0.01,-0.10,0.96
782936152,0.03,-0.11,0.97
782941120,0.03,-0.10,0.96
782946080,0.03,-0.09,0.97
782951056,0.02,-0.10,0.98
782956032,0.03,-0.10,0.98
782961008,0.03,-0.11,1.00
782965984,0.03,-0.12,1.00
782970992,0.02,-0.10,0.98
782975968,0.02,-0.09,0.98
782980936,0.01,-0.09,0.98
782985872,0.02,-0.10,0.98
782990848,0.03,-0.12,0.98
782995840,0.03,-0.12,0.98
783000792,0.02,-0.12,0.98
783005752,0.04,-0.12,0.98
783010712,0.06,-0.13,0.99
783015704,0.06,-0.13,1.00
783020704,0.04,-0.14,1.00
