28,0.10,0.92
304452288,0.28,0.11,0.95
304457240,0.29,0.09,0.95
304462168,0.28,0.08,0.93
304467096,0.28,0.09,0.94
304472016,0.31,0.09,0.94
304476976,0.32,0.10,0.94
304481920,0.31,0.10,0.95
304486864,0.33,0.11,0.95
304491816,0.34,0.09,0.94
304496744,0.35,0.12,0.94
304501696,0.36,0.10,0.94
304506632,0.36,0.10,0.95
304511600,0.36,0.10,0.95
304516528,0.36,0.12,0.96
304521488,0.36,0.11,0.95
304526424,0.35,0.10,0.92
304531360,0.34,0.11,0.92
304536312,0.38,0.11,0.93
304541272,0.36,0.12,0.95
33696,0.44,0.16,0.89
356186584,0.52,0.12,0.80
356191520,0.53,0.10,0.79
356196464,0.51,0.11,0.78
356201432,0.53,0.11,0.77
356206384,0.51,0.11,0.78
356211360,0.53,0.11,0.77
356216336,0.54,0.12,0.80
356221304,0.55,0.09,0.86
356226256,0.50,0.10,0.86
356231184,0.52,0.06,0.89
356236128,0.41,0.13,0.88
356241080,0.44,0.19,0.90
356246024,0.44,0.19,0.89
356250984,0.63,0.19,0.96
356255968,0.55,0.16,0.92
356260928,0.41,0.19,0.87
356265888,0.38,0.20,0.89
356270808,0.55,0.21,0.84
356275752,0.56,0.20,0.84
356280704,0.49,0.14,0.84
356285656,0.46,0.17,0.86
356290600,0.51,0.19,0.86
356295560,0.45,0.21,0.86
356300496,0.46,0.20,0.87
356305448,0.50,0.19,0.88
356310376,0.49,0.19,0.86
356315352,0.52,0.22,0.85
356320320,0.51,0.21,0.84
356325296,0.50,0.20,0.84
356330224,0.51,0.19,0.83
356335176,0.52,0.21,0.83
356340128,0.51,0.20,0.83
356345072,0.51,0.21,0.82
356350032,0.51,0.21,0.82
356355008,0.53,0.21,0.83
356359976,0.52,0.21,0.82
356364936,0.51,0.21,0.80
356369864,0.51,0.21,0.80
356374816,0.51,0.20,0.81
356379760,0.53,0.21,0.81
356384712,0.51,0.20,0.82
356389656,0.52,0.20,0.82
356394584,0.53,0.22,0.81
356399528,0.52,0.23,0.83
356404480,0.52,0.22,0.83
356409416,0.52,0.21,0.83
356414368,0.51,0.21,0.82
356419320,0.52,0.21,0.83
356424296,0.51,0.22,0.84
356429256,0.51,0.23,0.85
356434216,0.51,0.22,0.84
356439168,0.50,0.21,0.84
356444096,0.49,0.21,0.84
356449024,0.49,0.22,0.85
356453968,0.48,0.19,0.85
356458928,0.48,0.21,0.86
356463864,0.48,0.21,0.88
356468808,0.47,0.19,0.87
356473752,0.46,0.21,0.86
356478696,0.46,0.19,0.86
356483672,0.48,0.21,0.87
356488624,0.47,0.21,0.89
356493592,0.47,0.20,0.88
356498512,0.46,0.20,0.89
356503448,0.45,0.22,0.89
356508392,0.44,0.22,0.88
356513328,0.43,0.20,0.88
356518280,0.42,0.20,0.89
356523224,0.44,0.22,0.86
356528160,0.43,0.22,0.88
356533088,0.44,0.21,0.87
356538032,0.43,0.21,0.87
356543008,0.45,0.21,0.89
356547968,0.43,0.23,0.88
356552928,0.44,0.22,0.88
356557864,0.44,0.23,0.88
356562800,0.43,0.21,0.87
356567744,0.44,0.21,0.87
356572688,0.44,0.21,0.86
356577648,0.44,0.23,0.88
356582576,0.45,0.21,0.86
356587488,0.44,0.22,0.86
356592432,0.46,0.20,0.86
356597368,0.44,0.21,0.86
356602320,0.44,0.21,0.89
356607280,0.45,0.21,0.87
356612240,0.46,0.21,0.88
356617184,0.46,0.21,0.89
356622112,0.46,0.21,0.88
356627056,0.47,0.21,0.90
356631992,0.46,0.22,0.89
356636968,0.45,0.21,0.90
356641912,0.45,0.22,0.88
356646848,0.44,0.22,0.87
356651776,0.43,0.22,0.90
356656712,0.42,0.23,0.88
356661672,0.43,0.21,0.85
356666632,0.40,0.25,0.88
356671560,0.41,0.23,0.88
356676504,0.38,0.23,0.87
356681440,0.39,0.25,0.89
356686392,0.40,0.25,0.89
356691320,0.41,0.25,0.90
356696288,0.41,0.26,0.90
356701232,0.42,0.25,0.90
356706160,0.42,0.24,0.90
356711080,0.43,0.25,0.90
356716016,0.39,0.24,0.92
356720976,0.40,0.24,0.92
356725928,0.40,0.23,0.92
356730848,0.39,0.25,0.94
356735800,0.40,0.25,0.94
356740736,0.40,0.25,0.96
356745688,0.39,0.24,0.97
356750648,0.38,0.26,0.99
356755600,0.38,0.25,1.01
356760568,0.35,0.25,1.01
356765520,0.36,0.25,1.03
356770480,0.34,0.28,1.03
356775416,0.33,0.25,1.03
356780368,0.31,0.26,1.04
356785344,0.27,0.27,1.06
356790328,0.27,0.26,1.05
356795296,0.28,0.27,1.04
356800272,0.27,0.28,1.06
356805256,0.25,0.27,1.07
356810200,0.24,0.27,1.08
356815160,0.23,0.27,1.08
356820112,0.21,0.29,1.09
356825064,0.21,0.29,1.09
356830008,0.17,0.29,1.09
356834976,0.18,0.26,1.09
356839928,0.16,0.26,1.09
356844880,0.18,0.24,1.10
356849840,0.16,0.23,1.09
356854784,0.16,0.25,1.10
356859736,0.18,0.23,1.08
356864696,0.22,0.22,1.10
356869656,0.22,0.20,1.08
356874584,0.17,0.24,1.06
356879528,0.19,0.27,1.08
356884456,0.20,0.22,1.07
356889392,0.21,0.20,1.06
356894320,0.21,0.20,1.04
356899264,0.25,0.20,1.03
356904192,0.25,0.19,1.04
356909136,0.24,0.19,1.02
356914072,0.25,0.19,1.02
356919032,0.23,0.20,0.98
356924000,0.26,0.21,0.99
356928952,0.25,0.19,1.00
356933904,0.25,0.21,1.00
356938856,0.25,0.22,0.99
356943792,0.23,0.23,0.97
356948744,0.18,0.24,0.98
356953680,0.20,0.25,0.97
356958632,0.17,0.26,0.94
356963584,0.18,0.24,0.92
356968512,0.15,0.25,0.91
356973472,0.15,0.22,0.90
356978400,0.15,0.23,0.90
356983360,0.15,0.23,0.89
356988328,0.15,0.19,0.84
356993312,0.18,0.20,0.86
356998248,0.20,0.23,0.84
357003184,0.22,0.22,0.84
357008120,0.25,0.21,0.82
357013056,0.28,0.24,0.85
357018008,0.28,0.24,0.84
357022960,0.27,0.25,0.83
357027912,0.26,0.25,0.84
357032848,0.26,0.25,0.84
357037800,0.27,0.24,0.82
357042760,0.27,0.25,0.82
357047704,0.26,0.23,0.82
357052680,0.26,0.25,0.83
357057640,0.25,0.24,0.80
357062568,0.23,0.28,0.79
357067504,0.23,0.27,0.77
357072456,0.21,0.26,0.77
357077400,0.23,0.27,0.75
357082344,0.22,0.28,0.74
357087304,0.22,0.28,0.74
357092264,0.23,0.29,0.75
357097216,0.23,0.28,0.72
357102184,0.23,0.29,0.74
357107128,0.24,0.29,0.73
357112096,0.24,0.28,0.75
357117032,0.26,0.29,0.75
357122000,0.26,0.29,0.76
357126952,0.31,0.25,0.74
357131912,0.29,0.26,0.74
357136856,0.31,0.22,0.78
357141792,0.33,0.22,0.80
357146736,0.34,0.22,0.78
357151672,0.36,0.21,0.78
357156632,0.39,0.20,0.80
357161568,0.39,0.19,0.81
357166504,0.38,0.19,0.81
357171464,0.38,0.19,0.83
357176400,0.38,0.19,0.83
357181344,0.39,0.16,0.84
357186296,0.42,0.12,0.86
357191248,0.43,0.10,0.88
357196192,0.48,0.07,0.89
357201128,0.50,0.03,0.92
357206048,0.51,0.01,0.94
357211016,0.51,0.01,0.94
357215968,0.51,-0.02,0.94
357220976,0.52,-0.02,0.92
357225952,0.51,-0.04,0.92
357230944,0.49,-0.05,0.92
357235928,0.49,-0.03,0.92
357240912,0.48,-0.05,0.91
357245880,0.48,-0.04,0.91
357250864,0.49,-0.03,0.90
357255816,0.49,-0.02,0.91
357260768,0.49,-0.02,0.89
357265744,0.49,-0.01,0.89
357270720,0.51,-0.01,0.89
357275704,0.54,-0.01,0.90
357280680,0.58,-0.01,0.91
357285664,0.57,-0.02,0.91
357290672,0.59,-0.01,0.91
357295664,0.59,-0.01,0.92
357300656,0.56,0.00,0.92
357305616,0.54,0.01,0.91
357310576,0.52,-0.00,0.92
357315568,0.51,-0.01,0.92
357320568,0.49,0.01,0.90
357325496,0.47,0.03,0.91
357330440,0.44,0.02,0.91
357335368,0.42,0.02,0.90
357340280,0.41,0.05,0.90
357345216,0.40,0.05,0.91
357350120,0.38,0.05,0.90
357355032,0.36,0.05,0.89
357359976,0.35,0.05,0.89
357364920,0.34,0.07,0.88
357369832,0.34,0.06,0.88
357374760,0.36,0.05,0.90
357379680,0.37,0.04,0.89
357384632,0.40,0.03,0.89
357389544,0.41,0.01,0.88
357394464,0.43,0.00,0.89
357399408,0.43,-0.01,0.90
357404368,0.42,-0.00,0.91
357409360,0.41,-0.03,0.92
357414344,0.41,-0.02,0.92
357419344,0.39,-0.00,0.94
357424312,0.38,-0.01,0.96
357429304,0.35,-0.04,0.97
357434288,0.35,-0.03,0.98
357439272,0.35,-0.03,0.97
357444272,0.33,-0.02,0.98
357449248,0.31,-0.04,0.98
357454232,0.29,-0.05,0.98
357459192,0.28,-0.04,0.98
357464168,0.25,-0.04,0.98
357469128,0.22,-0.06,0.95
357474088,0.21,-0.04,0.99
